disc_conv1 - mean: 0.001136, std: 0.163546, max: 0.551000, min: -0.613310
disc_conv2 - mean: 0.099251, std: 0.121784, max: 0.564689, min: -0.349231
disc_conv1 - mean: 0.001574, std: 0.162271, max: 0.521046, min: -0.609987
disc_conv2 - mean: 0.099020, std: 0.129967, max: 0.575795, min: -0.351222
disc_conv1 - mean: 0.003568, std: 0.162411, max: 0.579784, min: -0.616505
disc_conv2 - mean: 0.103169, std: 0.121019, max: 0.585379, min: -0.513403
disc_conv1 - mean: 0.003095, std: 0.162977, max: 0.507437, min: -0.613217
disc_conv2 - mean: 0.103274, std: 0.139470, max: 0.608774, min: -0.362891
disc_conv1 - mean: 0.004155, std: 0.161282, max: 0.581649, min: -0.613103
disc_conv2 - mean: 0.103097, std: 0.124106, max: 0.599243, min: -0.355130
disc_conv1 - mean: 0.004679, std: 0.163476, max: 0.503165, min: -0.609105
disc_conv2 - mean: 0.107456, std: 0.130868, max: 0.610388, min: -0.350016
disc_conv1 - mean: 0.006023, std: 0.162775, max: 0.513087, min: -0.614869
disc_conv2 - mean: 0.109086, std: 0.125680, max: 0.616951, min: -0.318439
disc_conv1 - mean: 0.006201, std: 0.163526, max: 0.550561, min: -0.618787
disc_conv2 - mean: 0.110901, std: 0.139649, max: 0.639577, min: -0.337902
disc_conv1 - mean: 0.007291, std: 0.161983, max: 0.526590, min: -0.617372
disc_conv2 - mean: 0.110876, std: 0.126648, max: 0.632882, min: -0.407351
disc_conv1 - mean: 0.007154, std: 0.163441, max: 0.523458, min: -0.616019
disc_conv2 - mean: 0.112789, std: 0.142324, max: 0.645934, min: -0.361167
disc_conv1 - mean: 0.007894, std: 0.161474, max: 0.500782, min: -0.618952
disc_conv2 - mean: 0.110107, std: 0.127398, max: 0.637372, min: -0.369880
disc_conv1 - mean: 0.007363, std: 0.162380, max: 0.547722, min: -0.617367
disc_conv2 - mean: 0.111565, std: 0.146583, max: 0.651794, min: -0.367464
disc_conv1 - mean: 0.007498, std: 0.161282, max: 0.509698, min: -0.620328
disc_conv2 - mean: 0.109288, std: 0.128815, max: 0.624716, min: -0.358195
disc_conv1 - mean: 0.007690, std: 0.160866, max: 0.499295, min: -0.620350
disc_conv2 - mean: 0.109034, std: 0.134108, max: 0.637142, min: -0.405580
disc_conv1 - mean: 0.008277, std: 0.162488, max: 0.502998, min: -0.614853
