gen_deconv1 - mean: -0.013092, std: 0.204763, max: 0.860177, min: -0.947618
gen_deconv2 - mean: -0.001819, std: 0.147762, max: 0.809910, min: -0.678109
gen_deconv1 - mean: -0.012075, std: 0.207953, max: 0.842714, min: -1.006723
gen_deconv2 - mean: -0.001427, std: 0.151903, max: 0.793441, min: -0.691832
gen_deconv1 - mean: -0.011517, std: 0.212260, max: 0.886624, min: -1.029870
gen_deconv2 - mean: -0.001228, std: 0.155655, max: 0.834812, min: -0.679879
gen_deconv1 - mean: -0.010539, std: 0.214290, max: 0.897341, min: -1.048796
gen_deconv2 - mean: -0.000923, std: 0.157931, max: 0.819886, min: -0.774536
gen_deconv1 - mean: -0.009476, std: 0.218386, max: 0.940867, min: -1.149922
gen_deconv2 - mean: -0.000643, std: 0.161629, max: 0.860726, min: -0.768454
gen_deconv1 - mean: -0.008444, std: 0.217719, max: 0.953434, min: -1.132091
gen_deconv2 - mean: 0.000096, std: 0.162217, max: 0.824874, min: -0.777852
gen_deconv1 - mean: -0.007629, std: 0.222932, max: 1.083751, min: -1.144902
gen_deconv2 - mean: 0.000425, std: 0.166400, max: 0.882246, min: -0.877441
gen_deconv1 - mean: -0.007022, std: 0.223726, max: 0.995339, min: -1.123571
gen_deconv2 - mean: 0.001023, std: 0.167497, max: 0.872190, min: -0.812589
gen_deconv1 - mean: -0.006579, std: 0.228425, max: 1.051380, min: -1.203666
gen_deconv2 - mean: 0.001322, std: 0.170976, max: 0.829062, min: -0.828662
gen_deconv1 - mean: -0.006319, std: 0.229286, max: 0.991198, min: -1.173724
gen_deconv2 - mean: 0.001928, std: 0.171884, max: 0.821289, min: -0.848863
gen_deconv1 - mean: -0.006060, std: 0.230862, max: 1.002843, min: -1.170595
gen_deconv2 - mean: 0.002564, std: 0.173422, max: 0.859801, min: -0.833420
gen_deconv1 - mean: -0.005879, std: 0.235747, max: 1.074392, min: -1.258124
gen_deconv2 - mean: 0.002920, std: 0.177055, max: 0.891781, min: -0.898958
gen_deconv1 - mean: -0.005702, std: 0.237203, max: 1.035572, min: -1.244855
gen_deconv2 - mean: 0.003677, std: 0.178594, max: 0.934255, min: -0.849369
gen_deconv1 - mean: -0.005544, std: 0.240835, max: 1.119360, min: -1.237100
gen_deconv2 - mean: 0.004207, std: 0.181523, max: 0.891775, min: -0.852563
gen_deconv1 - mean: -0.005433, std: 0.243608, max: 1.223122, min: -1.354583
gen_deconv2 - mean: 0.004914, std: 0.183863, max: 0.948510, min: -0.872493
gen_deconv1 - mean: -0.005281, std: 0.245314, max: 1.084540, min: -1.272392
gen_deconv2 - mean: 0.005713, std: 0.185246, max: 0.938244, min: -0.884158
gen_deconv1 - mean: -0.005353, std: 0.249253, max: 1.150297, min: -1.229073
gen_deconv2 - mean: 0.006348, std: 0.187980, max: 0.927004, min: -0.876291
gen_deconv1 - mean: -0.005260, std: 0.250150, max: 1.098192, min: -1.214211
gen_deconv2 - mean: 0.007103, std: 0.188352, max: 0.908418, min: -0.863985
gen_deconv1 - mean: -0.005400, std: 0.254577, max: 1.178553, min: -1.287603
gen_deconv2 - mean: 0.007719, std: 0.191122, max: 0.875761, min: -0.828201
gen_deconv1 - mean: -0.005482, std: 0.259389, max: 1.256526, min: -1.261806
gen_deconv2 - mean: 0.008302, std: 0.193852, max: 0.883515, min: -0.962795
gen_deconv1 - mean: -0.005681, std: 0.260809, max: 1.416598, min: -1.291684
gen_deconv2 - mean: 0.009144, std: 0.194477, max: 0.897694, min: -0.849259
gen_deconv1 - mean: -0.006044, std: 0.266463, max: 1.322567, min: -1.319322
gen_deconv2 - mean: 0.009547, std: 0.197939, max: 0.900142, min: -0.915347
gen_deconv1 - mean: -0.006250, std: 0.268263, max: 1.337412, min: -1.335279
gen_deconv2 - mean: 0.010267, std: 0.199259, max: 0.918819, min: -0.890983
gen_deconv1 - mean: -0.006503, std: 0.273819, max: 1.347570, min: -1.272879
gen_deconv2 - mean: 0.010570, std: 0.203204, max: 0.906038, min: -0.990558
gen_deconv1 - mean: -0.006657, std: 0.278260, max: 1.377691, min: -1.342134
gen_deconv2 - mean: 0.010910, std: 0.206506, max: 0.938280, min: -0.930676
gen_deconv1 - mean: -0.006995, std: 0.278205, max: 1.344931, min: -1.409377
gen_deconv2 - mean: 0.011398, std: 0.206770, max: 0.990560, min: -0.920797
gen_deconv1 - mean: -0.007486, std: 0.285639, max: 1.458808, min: -1.379516
gen_deconv2 - mean: 0.011342, std: 0.211813, max: 0.964416, min: -0.927468
gen_deconv1 - mean: -0.008075, std: 0.288397, max: 1.558424, min: -1.383658
gen_deconv2 - mean: 0.011446, std: 0.213638, max: 0.974100, min: -0.937386
gen_deconv1 - mean: -0.008531, std: 0.291511, max: 1.591382, min: -1.381173
gen_deconv2 - mean: 0.011719, std: 0.215961, max: 0.995510, min: -0.962699
gen_deconv1 - mean: -0.009289, std: 0.293091, max: 1.540312, min: -1.355960
gen_deconv2 - mean: 0.011945, std: 0.217001, max: 0.991728, min: -1.052043
gen_deconv1 - mean: -0.009873, std: 0.296718, max: 1.558674, min: -1.596742
gen_deconv2 - mean: 0.012256, std: 0.219683, max: 1.040559, min: -1.031339
gen_deconv1 - mean: -0.010946, std: 0.303729, max: 1.651908, min: -1.468875
gen_deconv2 - mean: 0.012235, std: 0.224332, max: 0.973320, min: -0.978401
gen_deconv1 - mean: -0.011726, std: 0.304713, max: 1.568774, min: -1.512442
gen_deconv2 - mean: 0.012676, std: 0.225489, max: 1.021719, min: -1.020409
